nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 25
Epoch: 1270/3000, train loss: 0.050469, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1280/3000, train loss: 0.052561, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1290/3000, train loss: 0.030829, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1300/3000, train loss: 0.059237, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1310/3000, train loss: 0.057878, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1320/3000, train loss: 0.037102, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1330/3000, train loss: 0.048047, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1340/3000, train loss: 0.037603, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1350/3000, train loss: 0.043462, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1360/3000, train loss: 0.031341, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1370/3000, train loss: 0.026469, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1380/3000, train loss: 0.048499, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1390/3000, train loss: 0.065871, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1400/3000, train loss: 0.025572, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1410/3000, train loss: 0.039152, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1420/3000, train loss: 0.041520, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1430/3000, train loss: 0.055730, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1440/3000, train loss: 0.025233, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1450/3000, train loss: 0.055495, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1460/3000, train loss: 0.055516, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1470/3000, train loss: 0.055924, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1480/3000, train loss: 0.057803, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1490/3000, train loss: 0.035663, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1500/3000, train loss: 0.047272, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1510/3000, train loss: 0.025254, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1520/3000, train loss: 0.025215, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1530/3000, train loss: 0.053817, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1540/3000, train loss: 0.043616, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1550/3000, train loss: 0.059339, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1560/3000, train loss: 0.047263, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1570/3000, train loss: 0.065051, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1580/3000, train loss: 0.046297, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1590/3000, train loss: 0.052388, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1600/3000, train loss: 0.051179, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1610/3000, train loss: 0.051632, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1620/3000, train loss: 0.068338, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1630/3000, train loss: 0.051005, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1640/3000, train loss: 0.054721, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1650/3000, train loss: 0.042732, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1660/3000, train loss: 0.025098, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1670/3000, train loss: 0.048838, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1680/3000, train loss: 0.049546, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1690/3000, train loss: 0.057033, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1700/3000, train loss: 0.026818, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1710/3000, train loss: 0.053031, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1720/3000, train loss: 0.049928, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1730/3000, train loss: 0.051648, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1740/3000, train loss: 0.062157, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1750/3000, train loss: 0.062610, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1760/3000, train loss: 0.057912, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1770/3000, train loss: 0.024934, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1780/3000, train loss: 0.027615, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1790/3000, train loss: 0.049059, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1800/3000, train loss: 0.033128, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1810/3000, train loss: 0.049889, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1820/3000, train loss: 0.056556, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1830/3000, train loss: 0.050324, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1840/3000, train loss: 0.041721, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1850/3000, train loss: 0.046790, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1860/3000, train loss: 0.057465, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1870/3000, train loss: 0.050557, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1880/3000, train loss: 0.053812, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1890/3000, train loss: 0.022653, graph type: grid, num_layer: 4, hidden: 128
