nohup: ignoring input
Loaded 600 graphs for dataset ENZYMES
total graph num: 587, training set: 469
max number node: 125
max/min number edge: 149; 16
max previous node: 3
Epoch: 1130/3000, train loss: 0.454196, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1140/3000, train loss: 0.422545, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1150/3000, train loss: 0.437383, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1160/3000, train loss: 0.437549, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1170/3000, train loss: 0.430316, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1180/3000, train loss: 0.453710, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1190/3000, train loss: 0.436184, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1200/3000, train loss: 0.457838, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1210/3000, train loss: 0.455829, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1220/3000, train loss: 0.480148, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1230/3000, train loss: 0.423404, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1240/3000, train loss: 0.445279, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1250/3000, train loss: 0.442168, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1260/3000, train loss: 0.431948, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1270/3000, train loss: 0.437101, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1280/3000, train loss: 0.465272, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1290/3000, train loss: 0.447362, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1300/3000, train loss: 0.434677, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1310/3000, train loss: 0.431825, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1320/3000, train loss: 0.404321, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1330/3000, train loss: 0.439822, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1340/3000, train loss: 0.444616, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1350/3000, train loss: 0.438926, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1360/3000, train loss: 0.447237, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1370/3000, train loss: 0.419179, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1380/3000, train loss: 0.434023, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1390/3000, train loss: 0.391674, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1400/3000, train loss: 0.388097, graph type: grid, num_layer: 4, hidden: 128
test done, graphs saved
Epoch: 1410/3000, train loss: 0.435137, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1420/3000, train loss: 0.451337, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1430/3000, train loss: 0.434371, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1440/3000, train loss: 0.374018, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1450/3000, train loss: 0.407522, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1460/3000, train loss: 0.434510, graph type: grid, num_layer: 4, hidden: 128
Epoch: 1470/3000, train loss: 0.468800, graph type: grid, num_layer: 4, hidden: 128
